iter	RMSE
0	0.01041790255
1	0.01040523652
2	0.01039709049
3	0.01038670044
4	0.01037748808
5	0.01036589222
6	0.01035822454
7	0.01034909148
8	0.01033867695
9	0.0103288652
10	0.01032196358
11	0.01031244702
12	0.01030310642
13	0.01029512814
14	0.01028954092
15	0.01028148251
16	0.01026983893
17	0.01026164583
18	0.01024796018
19	0.01023904049
20	0.01023156458
21	0.01022601248
22	0.01021652697
23	0.01020689591
24	0.01019793471
25	0.01019270805
26	0.01018614311
27	0.01017652843
28	0.01016843624
29	0.01015997594
30	0.01015284309
31	0.01014783518
32	0.01014012416
33	0.01013327216
34	0.01012341051
35	0.01011372995
36	0.01010610665
37	0.01010018316
38	0.01009184241
39	0.01008487952
40	0.01007753202
41	0.01007107421
42	0.01006739745
43	0.01005948023
44	0.0100489968
45	0.01004091461
46	0.01003291334
47	0.01002857606
48	0.01002193996
49	0.01001580187
50	0.01000757101
51	0.01000261379
52	0.009996211696
53	0.009989821356
54	0.009982574226
55	0.009979421942
56	0.009973140589
57	0.00996742398
58	0.0099596476
59	0.00995131875
